est_address,employees,¿en su empresa o comercio cuentan con colaboradoras mujeres?,female_employees,porcentaje mujeres,female_emplo_distri,women_distri_percentage,female_distri_vincu,hired_women_percentage,female_popg,female_support,economic_activity,specific_activity,main_products,warehouse,number_warehouse,warehouse_floor,warehouse_area,warehouse_height,zuap_warehouse,warehouse_municipality,warehouse_type,supply_day,supply_week,supply_schedule,supply_unloading,supply_safety_percep,supply_bic_safety_perception,warehouse_equipement,delivery_transp_mode,num_deliveries,online_trans_mode,num_online_deliveries
Calle 50 # 56 31,5,Sí,1.0,0.2,0.0,0.0,1.0,1.0,Madres cabeza de familia,No,Fabricante,Refrigeración comercial. Punto de Venta. ,refrigeracion,Interno,1.0,1.0,300.0,3.2,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",1 vez por semana,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,1,"Carretilla, Gato hidráulico ",Camioneta,3,Camioneta ,3
Calle 50 # 56 43,4,No,,0.0,,,,,,,Fabricante,Carpintería,maderas,"Externo, alquilado",1.0,2.0,300.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",La periodicidad es mensual,"13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,1,Ninguno,Furgón,1,Furgón,1
Calle 49 # 56 06,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Proveedor Textiles,Servicios de transporte y distribución de mercancías Textiles,mensajeria,Interno,30.0,14.0,400.0,4.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, se descarga internamente",5,1,"Carretilla, Elevador, Rampa fija, Porta doble, Parqueadero de uso interno, Parqueadero para clientes",No se realizan domicilios,0,"Caminata, Bicicleta de carga, Motocicleta, Vehículo particular, Van, Furgón, Carreta ""zorrilla""",300
Calle # 55 51,11,Sí,6.0,0.5454545454545454,1.0,0.16666666666666666,6.0,1.0,Ninguna de las anteriores,No,Proveedor,Venta de productos de belleza,cosmeticos y productos de belleza,Interno,3.0,1.0,60.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,1,Carretilla,Motocicleta,10,Motocicleta,10
Carrera 50 # 48 53 Local 106,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Textiles,moda y textiles,Interno,1.0,1.0,12.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",La periodicidad es mensual,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, sobre la vía",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 49 # 53 72,15,Sí,10.0,0.6666666666666666,0.0,0.0,10.0,1.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,Interno,2.0,3.0,60.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 15:00 a 16:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, sobre la vía, En camión, sobre el andén, En camión, en vías aledañas",5,1,Carretilla,Motocicleta,3,Motocicleta,5
Calle 50 # 53 39,6,Sí,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,1,Carretilla,"Furgón, Carreta ""zorrilla""",10,"Furgón, Carreta ""zorrilla""",10
Calle 50# 53 31,14,Sí,13.0,0.9285714285714286,0.0,0.0,13.0,1.0,Madres cabeza de familia,No,Venta al detalle,Electrodomésticos y hogar,electrodomesticos,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00","En camión, sobre la vía",3,1,Carretilla,Furgón,10,Furgón,5
Carrera 53 # 49 17,6,Sí,5.0,0.8333333333333334,0.0,0.0,5.0,1.0,Madres cabeza de familia,No,Venta al detalle,Textiles,moda y textiles,Interno,1.0,2.0,90.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,2,Carretilla,Servicio de mensajería ,7,Motocicleta,7
Cra 54 # 49-37 ,105,Sí,72.0,0.6857142857142857,0.0,0.0,72.0,1.0,"Madres cabeza de familia, Mujeres transgénero, Mujeres con movilidad reducida",Sí,Venta al detalle,Maquinaria,maquinaria,Interno,3.0,1.0,20.0,4.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes",1 vez por semana,09:00 a 10:00,"En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En carreta ""zorrilla""",5,1,Carretilla,"Caminata, Motocicleta",80,Transportadora,4
Kr 56c # 49A 126 piso 1,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Cigarrería Expendio de bebidas alcohólicas,Restaurante Cigarrería Expendio de bebidas alcohólicas,restauracion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En carreta ""zorrilla"", En vehículo particular",5,5,Carretilla,Caminata,10,No se realizan ventas por internet,0
Calle 50 # 55a 31,1,No,,0.0,,,,,,,Venta al detalle,Fabricación (manufacturas),manufacturas,Interno,1.0,1.0,12.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Miércoles, Viernes",La periodicidad es mensual,"12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 50 # 55a 25,1,No,,0.0,,,,,,No,Fabricante,Venta de materiales de construcción,materiales de construccion,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",5,"01:00 a 02:00, 02:00 a 03:00, 03:00 a 04:00, 04:00 a 05:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,1,A mano,Van,1,No se realizan ventas por internet,0
Calle 49 # 53 90,6,Sí,3.0,0.5,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Proveedor,Textiles,moda y textiles,Interno,2.0,2.0,80.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En camión, estacionado en bahía y la ingresa el personal de mi empresa, En camión, sobre la vía, En camión, sobre el andén, En camión, en vías aledañas, En camión, estacionado en parqueadero propiedad de un tercero, En motocicleta, En bicicleta, En carreta ""zorrilla"", En vehículo particular",5,1,Carretilla,"Carreta ""zorrilla"", Transportadora ",2,No se realizan ventas por internet,0
Carrera 54 # 49- 92 ,6,Sí,3.0,0.5,0.0,0.0,3.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Maquinaria,maquinaria,"Externo, alquilado",1.0,2.0,32.0,2.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Sábado",4,11:00 a 12:00,"En carreta ""zorrilla""",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 54# 50- 14 ,5,Sí,2.0,0.4,0.0,0.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Maquinaria,maquinaria,Interno,1.0,3.0,64.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo, Festivos",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00","En camión, sobre la vía, En carreta ""zorrilla""",3,1,Carretilla,Motocicleta,4,Motocicleta,1
Calle 49 # 51 10,1,Sí,1.0,1.0,0.0,0.0,1.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de productos de belleza,cosmeticos y productos de belleza,Interno,1.0,2.0,12.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00, 19:00 a 20:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En motocicleta",5,1,Ninguno,Motocicleta,1,Motocicleta,1
Carrera 51 # 49 13,4,Sí,3.0,0.75,0.0,0.0,3.0,1.0,Madres cabeza de familia,No,Fabricante,Textiles,moda y textiles,Interno,1.0,2.0,4.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",1,1,Ninguna,No se realizan domicilios,0,Servicio de mensajería ,1
Calle 51 # 53- 67,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Carpintería,maderas,"Externo, propio",1.0,1.0,12.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",6 o más,"05:00 a 06:00, 10:00 a 11:00, 16:00 a 17:00","En camión, estacionado en parqueadero propiedad de un tercero, En carreta ""zorrilla""",3,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 53# 50- 55,12,Sí,4.0,0.3333333333333333,0.0,0.0,4.0,1.0,Madres cabeza de familia,No,Venta al detalle,Sonido,electronica,Interno,2.0,1.0,10.0,2.5,Sí,Medellín,Recepción de mercancías,"Lunes, Miércoles, Sábado",6 o más,"10:00 a 11:00, 12:00 a 13:00, 15:00 a 16:00, 17:00 a 18:00","En camión, sobre la vía",4,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Carrera 56 # 50 31,12,Sí,6.0,0.5,0.0,0.0,6.0,1.0,Madres cabeza de familia,No,Venta al detalle,Venta de materiales de construcción,materiales de construccion,Interno,1.0,1.0,40.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,3,Carretilla,Motocicleta,6,Motocicleta,4
Calle 50# 53-94,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Madres cabeza de familia,No,Proveedor,Electrodomésticos y hogar,electrodomesticos,Interno,1.0,2.0,24.0,2.5,Sí,Medellín,Recepción de mercancías,"Martes, Miércoles, Sábado",1 vez por semana,09:00 a 10:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa",2,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 50 # 49- 19,7,Sí,4.0,0.5714285714285714,0.0,0.0,4.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Supermercados,productos alimenticios,Interno,1.0,1.0,20.0,2.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",6 o más,01:00 a 02:00,"En camión, sobre la vía, En carreta ""zorrilla""",5,1,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 51 53 41 ,4,Sí,3.0,0.75,0.0,0.0,0.0,0.0,Madres cabeza de familia,Sí,Fabricante Textiles,Fabricación (manufacturas) Textiles,moda y textiles,Interno,1.0,1.0,4.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Miércoles, Sábado",3,17:00 a 18:00,"En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,4,Carretilla,Vehículo particular,3,Motocicleta,1
Cl 51 53 69,2,Sí,1.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,Sí,Proveedor,Venta de materiales de construcción,materiales de construccion,Interno,1.0,1.0,20.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Miércoles",2,"08:00 a 09:00, 11:00 a 12:00, 18:00 a 19:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",4,4,Carretilla,"Caminata, Bicicleta normal",4,Caminata,2
Carrera 56 # 50 27,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Ninguna de las anteriores,No,Venta al detalle,Venta de materiales de construcción,materiales de construccion,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",2,"09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",4,4,Ninguno ,Motocicleta,1,No se realizan ventas por internet,0
Cl 51 52 45 ,1,Sí,1.0,1.0,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,Venta de calzado,calzado,Interno,1.0,1.0,1.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Jueves",2,08:00 a 09:00,"En carreta ""zorrilla""",2,3,Carretilla,No se realizan domicilios,0,"Motocicleta, Vehículo particular",2
Cra 54 # 51 - 13,1,Sí,1.0,1.0,1.0,1.0,0.0,0.0,Ninguna de las anteriores,No,Venta al detalle,Reposteria,productos alimenticios,"Externo, alquilado",1.0,1.0,10.0,2.2,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Sábado",6 o más,12:00 a 13:00,"En camión, sobre la vía",4,1,La misma persona la carga en sus manos,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 52 # 50-7,3,Sí,2.0,0.6666666666666666,1.0,0.5,2.0,1.0,Madres cabeza de familia,No,Venta al detalle,Extenciones ee cabello,cosmeticos y productos de belleza,Interno,1.0,2.0,16.0,2.2,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",4,"04:00 a 05:00, 07:00 a 08:00, 12:00 a 13:00","En camión, en vías aledañas, En motocicleta, En carreta ""zorrilla""",4,1,Carretilla,Motocicleta,2,Motocicleta,3
Cl 51 53 89 ,12,Sí,6.0,0.5,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle,muebles ,articulos para el hogar,No,0.0,,,,,,,"Miércoles, Viernes",2,"09:00 a 10:00, 17:00 a 18:00","En carreta ""zorrilla""",4,3,ninguno ,"Vehículo particular, Furgón",3,No se realizan ventas por internet,0
Cl 51 52 77 ,1,No,,0.0,,,,,,,Fabricante Papelería,Fabricación (manufacturas) Papelería,papeleria,Interno,1.0,1.0,2.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Jueves",1 vez por semana,17:00 a 18:00,"En carreta ""zorrilla"", En vehículo particular",3,4,Rampa fija,No se realizan domicilios,0,No se realizan ventas por internet,0
Kr 52 50 68 ,2,Sí,2.0,1.0,0.0,0.0,0.0,0.0,Madres cabeza de familia,No,Venta al detalle Elementos misceláneos,Electrodomésticos y hogar Elementos misceláneos,electrodomesticos,No,0.0,,,,,,,Lunes,1 vez por semana,17:00 a 18:00,En vehículo particular,2,3,Rampa fija,Motocicleta,1,Motocicleta,2
Clle 51  51 73,1,No,,0.0,,,,,,,Proveedor,Ferretería,ferreteria,No,0.0,,,,,,,Jueves,1 vez por semana,08:00 a 09:00,En bicicleta,4,4,Carretilla,"No se realizan domicilios, Caminata",6,Caminata,0
Cl 51 51 51 ,25,Sí,13.0,0.52,3.0,0.23076923076923078,6.0,0.46153846153846156,"Madres cabeza de familia, Migrantes",Sí,Proveedor accesorios par celulares ,Electrodomésticos y hogar accesorios par celulares ,electrodomesticos,Interno,1.0,1.0,10.0,4.0,Sí,Medellín,Almacenamiento de inventarios,"Martes, Viernes",3,"09:00 a 10:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,2,Parqueadero de uso interno,Motocicleta,4,Motocicleta,5
Cra52 48 44,13,Sí,13.0,1.0,2.0,0.15384615384615385,13.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Confección y moda Textiles,Elementos misceláneos Confección y moda Textiles,articulos para el hogar,Interno,1.0,2.0,500.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",4,"06:00 a 07:00, 07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",4,5,Carretilla,Caminata,5,Caminata,3
Cra51 52 37,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle Artículos religiosos ,Decoración Artículos religiosos ,articulos para el hogar,No,0.0,,,,,,,Miércoles,1 vez por semana,08:00 a 09:00,En bicicleta,5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Calle 51 # 52- 31 ,9,Sí,5.0,0.5555555555555556,1.0,0.2,5.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Tienda Naturista y articulos para reposteria y puñateria,productos alimenticios,No,0.0,,,,,,,"Martes, Miércoles, Jueves, Sábado",2,"03:00 a 04:00, 07:00 a 08:00, 11:00 a 12:00","En motocicleta, En bicicleta",3,3,Carretilla,Caminata,4,No se realizan ventas por internet,0
Clke54 56a 61,6,Sí,6.0,1.0,1.0,0.16666666666666666,6.0,1.0,"Madres cabeza de familia, Mujeres pertenecientes a grupos étnicos",Sí,Proveedor,Perfumería,cosmeticos y productos de belleza,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En carreta ""zorrilla"", En vehículo particular",5,5,Rampa fija,"Caminata, Motocicleta",4,"Caminata, Motocicleta",5
Cl. 54 #56-27 Local 102,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Ninguna de las anteriores,Sí,Fabricante Papelería Publicidad ,Fabricación (manufacturas) Papelería Publicidad ,papeleria,Interno,1.0,1.0,3.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00","En camión, sobre la vía",5,5,Rampa fija,"Caminata, Motocicleta",4,"Caminata, Motocicleta",2
Cl 54 #56 27,2,Sí,1.0,0.5,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Fabricante Litografía ,Papelería Litografía ,papeleria,No,0.0,,,,,,,Martes,1 vez por semana,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00",En vehículo particular,5,5,"Rampa mecánica, No hay bodega","Bicicleta normal, Motocicleta",4,"Caminata, Bicicleta normal",5
Cra 49 51 21,153,Sí,105.0,0.6862745098039216,8.0,0.0761904761904762,105.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Telecomunicaciones,servicios de telecomunicaciones,Interno,2.0,2.0,89.0,3.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",6 o más,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00, 18:00 a 19:00","En camión, estacionado en parqueadero propiedad de un tercero",4,4,Elevador,"Caminata, Motocicleta",6,15,1
Cra52 48 80,2,Sí,2.0,1.0,0.0,0.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle,Elementos misceláneos,articulos para el hogar,Interno,1.0,1.0,5.0,2.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes",2,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora, En carreta ""zorrilla""",4,4,Carretilla,No se realizan domicilios,1,Caminata,0
Calle 51 # 52- 53,2,Sí,1.0,0.5,1.0,1.0,0.0,0.0,Víctimas del conflicto armado,Sí,Venta al detalle,Articulos religiosos,articulos para el hogar,"Externo, alquilado",1.0,1.0,9.0,2.5,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Viernes",6 o más,"09:00 a 10:00, 14:00 a 15:00, 18:00 a 19:00",En vehículo particular,4,1,Las personas lo llevan cargados,No se realizan domicilios,0,No se realizan ventas por internet,0
CL 54 56A 53,6,Sí,4.0,0.6666666666666666,0.0,0.0,4.0,1.0,"Madres cabeza de familia, Mujeres pertenecientes a grupos étnicos",Sí,Venta al detalle correos ventas en línea Ferretería Todo en plásticos y desechables ,Mensajería correos ventas en línea Ferretería Todo en plásticos y desechables ,mensajeria,Interno,1.0,1.0,30.0,5.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl 5456A 69,3,Sí,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Fabricación (manufacturas) Decoración,Venta de materiales de construcción Fabricación (manufacturas) Decoración,materiales de construccion,Interno,1.0,1.0,8.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Miércoles, Jueves, Viernes",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00","En camión, se descarga internamente",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cr 55 51 01,3,Sí,2.0,0.6666666666666666,0.0,0.0,2.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Materiales eléctricos ,Decoración Materiales eléctricos ,articulos para el hogar,No,0.0,,,,,,,"Lunes, Jueves",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, en vías aledañas",5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
Cl. 54 #53 55,10,Sí,8.0,0.8,1.0,0.125,8.0,1.0,"Madres cabeza de familia, Mujeres pertenecientes a grupos étnicos",Sí,Fabricante Centro de impresiones ,Fabricación (manufacturas) Centro de impresiones ,manufacturas,Interno,240.0,1.0,40.0,3.0,Sí,Medellín,Recepción de mercancías,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00","En camión, estacionado en bahía y la ingresa el personal de mi empresa",5,5,Carretilla,Motocicleta,3,Motocicleta,5
Cl 51 54 66,4,No,,0.0,,,,,,,Venta al detalle Bonbilleria lámparas fluorescentes ,Ferretería Bonbilleria lámparas fluorescentes ,ferreteria,Interno,1.0,1.0,30.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Martes, Miércoles, Jueves",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, estacionado en zona bahía y la ingresa la empresa transportadora",5,4,Carretilla,Caminata,3,Motocicleta,5
Cr 54 51 19,6,Sí,4.0,0.6666666666666666,0.0,0.0,4.0,1.0,Madres cabeza de familia,Sí,Venta al detalle Maquinaria Articulos eléctricos ,Venta de materiales de construcción Maquinaria Articulos eléctricos ,materiales de construccion,No,0.0,,,,,,,"Lunes, Viernes",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00",En vehículo particular,5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
D 55a 55 21,3,Sí,2.0,0.6666666666666666,1.0,0.5,2.0,1.0,Madres cabeza de familia,Sí,Fabricante Fabricación (manufacturas),Venta de materiales de construcción Fabricación (manufacturas),materiales de construccion,No,0.0,,,,,,,"Lunes, Miércoles",2,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00","En camión, sobre la vía",5,5,Rampa fija,No se realizan domicilios,0,No se realizan ventas por internet,0
Cra 54 # 51- 75,3,Sí,2.0,0.6666666666666666,2.0,1.0,0.0,0.0,"Madres cabeza de familia, Víctimas del conflicto armado",Sí,Fabricante,Muebleria ,articulos para el hogar,No,0.0,,,,,,,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado",3,"07:00 a 08:00, 08:00 a 09:00, 09:00 a 10:00","En camión, sobre la vía, En carreta ""zorrilla""",3,1,Carretilla,Vehículo particular,2,Vehículo particular,1
Cr 55 51 109,1,Sí,1.0,1.0,1.0,1.0,1.0,1.0,Ninguna de las anteriores,Sí,Venta al detalle,Elementos eléctricos ,electrodomesticos,Interno,1.0,1.0,2.0,2.0,Sí,Medellín,Almacenamiento de inventarios,"Lunes, Martes, Viernes",3,"08:00 a 09:00, 09:00 a 10:00, 10:00 a 11:00, 11:00 a 12:00, 12:00 a 13:00, 13:00 a 14:00, 14:00 a 15:00, 15:00 a 16:00, 16:00 a 17:00, 17:00 a 18:00",En vehículo particular,5,5,Carretilla,No se realizan domicilios,0,No se realizan ventas por internet,0
